question_text,option_a,option_b,option_c,correct_answer,difficulty
"Which team plays at the Wanda Metropolitano?","Real Madrid","Atletico Madrid","Sevilla","B","easy"
"Who won the Golden Boot at the 2022 World Cup?","Lionel Messi","Olivier Giroud","Kylian Mbappe","C","medium"
"What is the home stadium of Newcastle?","St James' Park","Emirates Stadium","Stamford Bridge","A","medium"
"In which year did Germany win their last World Cup?","2010","2014","2018","B","medium"
"Who scored the winning goal in the 2005 Champions League final penalty shootout?","Steven Gerrard","Xabi Alonso","Jerzy Dudek saved it","C","hard"
"Which goalkeeper has won the most Yashin Trophy (Best Goalkeeper)?","Thibaut Courtois","Manuel Neuer","Alisson","A","medium"
"Which country has won the most Women's World Cups?","Germany","USA","Norway","B","medium"
"Who is France's all-time top scorer in World Cup history?","Thierry Henry","Just Fontaine","Kylian Mbappe","B","hard"
"Who won the first ever Premier League title?","Arsenal","Manchester United","Blackburn Rovers","B","medium"
"Which player is known as 'The Egyptian King'?","Mohamed Salah","Ahmed Hegazi","Aboutrika","A","easy"
"Who was Nigeria's goalkeeper during the 2010 World Cup?","Carl Ikeme","Vincent Enyeama","Dele Aiyenugba","B","medium"
"What color card is shown for a sending off?","Yellow","Red","Orange","B","easy"
"Which country did Diego Maradona represent?","Brazil","Argentina","Uruguay","B","medium"
"Which Premier League club is Steven Gerrard most associated with?","Liverpool","Everton","Chelsea","A","easy"
"Which country does Jude Bellingham represent?","Germany","England","Spain","B","easy"
"How many consecutive Serie A titles did Juventus win from 2011-2020?","7","8","9","C","medium"
"How many players are on a football team on the field?","10","11","12","B","easy"
"How many consecutive Premier League titles did Manchester City win from 2017-2023?","3","4","5","B","medium"
"What is the capacity of Old Trafford?","Around 75,000","Around 80,000","Around 65,000","A","medium"
"Which English club won the Women's Champions League in 2021?","Chelsea","Arsenal","Manchester City","A","medium"
"Which club did Kylian Mbappe join from Monaco?","Real Madrid","PSG","Barcelona","B","medium"
"Which country does Gavi represent internationally?","Spain","France","Brazil","A","easy"
"How many consecutive El Clasico wins did Barcelona have from 2008-2012?","4","5","6","C","hard"
"Who was the first footballer to earn 1 million pounds a year?","David Beckham","Eric Cantona","Sol Campbell","C","medium"
"Who is considered the best goalkeeper of all time?","Lev Yashin","Gianluigi Buffon","Manuel Neuer","A","medium"
"Which country does Jamal Musiala represent internationally?","Germany","France","Spain","A","easy"
"Which club does Bukayo Saka currently play for?","Arsenal","Chelsea","Manchester United","A","easy"
"Which club does Eduardo Camavinga currently play for?","Real Madrid","Chelsea","Manchester United","A","easy"
"Which club does Carlo Ancelotti currently or recently manage?","Real Madrid","Barcelona","Juventus","A","easy"
"What is the home stadium of Brentford?","Brentford Community Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"How long is half-time in football?","10 minutes","15 minutes","20 minutes","B","easy"
"Which Nigerian player was known as 'The African Pele'?","Austin Okocha","Nwankwo Kanu","Rashidi Yekini","A","medium"
"What is a 'Bosman transfer'?","A record-breaking transfer","A free transfer after contract expires","A youth player transfer","B","medium"
"Which Nigerian player won the Champions League with Chelsea in 2012?","John Obi Mikel","Victor Moses","Both A and B","A","medium"
"What year did Nigeria win Olympic gold in football?","1992","1996","2000","B","medium"
"Which team won La Liga in 2022-23?","Real Madrid","Barcelona","Atletico Madrid","B","easy"
"Which goalkeeper saved Arjen Robben's penalty in the 2012 final?","Petr Cech","Manuel Neuer","Iker Casillas","A","hard"
"Which Premier League club is Thierry Henry most associated with?","Arsenal","Chelsea","Manchester United","A","easy"
"What is the home stadium of West Ham?","London Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"What is the home stadium of Manchester City?","Etihad Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"Who is Argentina's all-time top scorer?","Diego Maradona","Lionel Messi","Gabriel Batistuta","B","medium"
"Which country does Pedri represent internationally?","Spain","France","Brazil","A","easy"
"What is the North London derby between?","Chelsea vs Arsenal","Arsenal vs Tottenham","Tottenham vs Chelsea","B","easy"
"Which club did N'Golo Kante play for before Chelsea?","Southampton","Leicester City","Caen","B","medium"
"What position does a 'false 9' play?","Defensive midfield","Center forward dropping deep","Wing back","B","medium"
"Which club did Karim Benzema score a hat-trick against in 2022 to complete a comeback?","Chelsea","PSG","Manchester City","B","medium"
"Who is the all-time top scorer in World Cup history?","Ronaldo Nazario","Miroslav Klose","Pele","B","medium"
"Which club does Pep Guardiola currently or recently manage?","Manchester City","Manchester United","Liverpool","A","easy"
"Which club has won the most Bundesliga titles?","Borussia Dortmund","Bayern Munich","Hamburg","B","easy"
"Which team has never been relegated from the Premier League?","Everton","Arsenal","Both A and B","C","medium"
"Which country does Florian Wirtz represent internationally?","Germany","France","Spain","A","easy"
"Which African country reached the 2002 World Cup quarter-finals?","Nigeria","Senegal","Ghana","B","medium"
"Which club does Diego Simeone currently or recently manage?","Atletico Madrid","Real Madrid","Sevilla","A","easy"
"Which club does Phil Foden currently play for?","Manchester City","Chelsea","Manchester United","A","easy"
"Which Premier League club is Michael Owen most associated with?","Liverpool","Everton","Manchester United","A","easy"
"Which club did Cristiano Ronaldo start his career at?","Manchester United","Sporting Lisbon","Real Madrid","B","easy"
"Which country won the 2023 FIFA Women's World Cup?","USA","Spain","England","B","medium"
"What is the home stadium of Burnley?","Turf Moor","Emirates Stadium","Stamford Bridge","A","medium"
"What is the home stadium of Brighton?","Amex Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"What is the home stadium of Luton Town?","Kenilworth Road","Emirates Stadium","Stamford Bridge","A","medium"
"What is the home stadium of Bournemouth?","Vitality Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"Which goalkeeper has the most clean sheets in Premier League history?","David Seaman","Petr Cech","Edwin van der Sar","B","medium"
"Which stadium has the largest capacity in the Bundesliga?","Allianz Arena","Signal Iduna Park","Olympiastadion","B","medium"
"How many Ballon d'Or awards has Lionel Messi won?","7","8","6","B","easy"
"Which South African club is nicknamed 'Amakhosi'?","Orlando Pirates","Mamelodi Sundowns","Kaizer Chiefs","C","medium"
"Who was Nigeria's captain at the 1994 World Cup?","Stephen Keshi","Rashidi Yekini","Jay-Jay Okocha","A","medium"
"Which club does Xavi currently or recently manage?","Barcelona","Real Madrid","Atletico Madrid","A","easy"
"Who is the Bundesliga's all-time top scorer?","Gerd Muller","Robert Lewandowski","Karl-Heinz Rummenigge","B","medium"
"What squad number did Zinedine Zidane wear at Real Madrid?","5","10","7","A","easy"
"Which club does Florian Wirtz currently play for?","Bayer Leverkusen","Chelsea","Manchester United","A","easy"
"How many Champions League titles has Barcelona won?","4","5","6","B","medium"
"What year did the Premier League start?","1990","1992","1994","B","medium"
"Which was the last English team to win the Champions League before Chelsea in 2012?","Manchester United","Liverpool","Arsenal","A","hard"
"Which Nigerian club has won the most league titles?","Shooting Stars","Enyimba","Rangers International","C","hard"
"Which country hosted the 1966 FIFA World Cup?","England","Mexico","Germany","A","hard"
"Who is Nigeria's all-time top scorer?","Rashidi Yekini","Jay-Jay Okocha","Victor Osimhen","A","medium"
"Which Premier League club is Rio Ferdinand most associated with?","Manchester United","Liverpool","Chelsea","A","easy"
"Which Dutch legend was known as 'The Flying Dutchman'?","Johan Cruyff","Marco van Basten","Dennis Bergkamp","C","medium"
"Which team won Serie A in 2022-23?","AC Milan","Inter Milan","Napoli","C","easy"
"What is the home stadium of Liverpool?","Anfield","Emirates Stadium","Stamford Bridge","A","medium"
"Who is the Brazilian legend known as 'O Fenomeno'?","Ronaldinho","Ronaldo Nazario","Rivaldo","B","medium"
"Which Italian club did Ronaldinho play for?","AC Milan","Juventus","Inter Milan","A","medium"
"How many yellow cards result in a red card?","1","2","3","B","easy"
"How many consecutive Bundesliga titles did Bayern Munich win from 2013-2023?","9","10","11","C","medium"
"Which player scored the fastest goal in Premier League history?","Shane Long","Ledley King","Christian Eriksen","A","hard"
"Who is the most decorated African player in Premier League history?","Didier Drogba","Yaya Toure","Sadio Mane","B","hard"
"What is the record for most consecutive wins in the Premier League?","16","18","20","B","hard"
"How many Premier League titles has Liverpool won?","1","2","0","A","medium"
"Who is known as 'The Kaiser' in football?","Franz Beckenbauer","Gerd Muller","Lothar Matthaus","A","medium"
"Which country does Joao Felix represent internationally?","Portugal","France","Spain","A","easy"
"Which club did Zinedine Zidane play for in Italy?","AC Milan","Inter Milan","Juventus","C","medium"
"Who captained Senegal to their first AFCON title in 2022?","Sadio Mane","Kalidou Koulibaly","Edouard Mendy","B","medium"
"How many substitutions are allowed in a Premier League match?","3","5","4","B","easy"
"What year was VAR introduced in the Premier League?","2018","2019","2020","B","easy"
"How many teams participated in the 2022 World Cup?","24","32","48","B","medium"
"Who won the Golden Boy award in 2023?","Jude Bellingham","Gavi","Jamal Musiala","A","medium"
"Who scored the 'Hand of God' goal in the 1986 World Cup?","Pele","Diego Maradona","Zinedine Zidane","B","easy"
"Which club has won the most Serie A titles?","AC Milan","Inter Milan","Juventus","C","easy"
"How many goals did Just Fontaine score in the 1958 World Cup?","13","10","11","A","hard"
"How many goals did Kylian Mbappe score in the 2022 World Cup final?","2","3","4","B","medium"
"Which player has won the most FIFA Best Men's Player awards?","Lionel Messi","Cristiano Ronaldo","Robert Lewandowski","A","medium"
"Which player won the Pichichi trophy most times?","Cristiano Ronaldo","Lionel Messi","Hugo Sanchez","B","medium"
"Which team won the UEFA Europa League in 2023?","Roma","Sevilla","Arsenal","B","medium"
"Who is Arsenal's all-time Premier League top scorer?","Thierry Henry","Ian Wright","Robin van Persie","A","easy"
"How many goals did Cristiano Ronaldo score in the 2013-14 Champions League?","15","17","19","B","hard"
"How many times has Spain won the European Championship?","2","3","4","B","medium"
"Which club has won the most CAF Champions League titles?","Zamalek","Al Ahly","TP Mazembe","B","medium"
"Who was the Champions League top scorer in 2022-23?","Erling Haaland","Kylian Mbappe","Robert Lewandowski","A","medium"
"Which city is Shooting Stars FC based in?","Lagos","Ibadan","Kano","B","medium"
"Which Premier League club is Sergio Aguero most associated with?","Manchester City","Chelsea","Arsenal","A","easy"
"What is the capacity of Wembley Stadium?","80,000","90,000","100,000","B","medium"
"How many hat-tricks has Cristiano Ronaldo scored in his career?","Over 50","Over 60","Over 70","B","hard"
"How many times has Luka Modric won the Ballon d'Or?","1","2","0","A","medium"
"Who scored the fastest goal in Bundesliga history?","Erling Haaland","Robert Lewandowski","Karim Bellarabi","C","hard"
"Which club does Ange Postecoglou currently or recently manage?","Tottenham","Chelsea","Brighton","A","easy"
"Who is the only player to win La Liga with three different clubs?","Luis Figo","Samuel Eto'o","Michael Laudrup","B","hard"
"Which club won the treble including Champions League in 2009?","Manchester United","Barcelona","Inter Milan","B","medium"
"Which country won the 2006 FIFA World Cup?","France","Germany","Italy","C","medium"
"Who is Germany's all-time top scorer?","Miroslav Klose","Gerd Muller","Thomas Muller","B","medium"
"Which goalkeeper has the most Premier League clean sheets?","David Seaman","Petr Cech","Edwin van der Sar","B","medium"
"Which team won 6 trophies in 2009 under Pep Guardiola?","Real Madrid","Barcelona","Valencia","B","medium"
"Which is the largest football stadium in Europe?","Camp Nou","Wembley","Signal Iduna Park","A","medium"
"Who managed AC Milan to their last Champions League title?","Arrigo Sacchi","Carlo Ancelotti","Fabio Capello","B","medium"
"Which team has the famous 'Yellow Wall' stand?","Bayern Munich","Borussia Dortmund","RB Leipzig","B","easy"
"Which player has won the most Premier League Player of the Month awards?","Harry Kane","Sergio Aguero","Steven Gerrard","B","hard"
"Which team did Germany beat 7-1 in the 2014 World Cup semi-final?","Argentina","Brazil","Netherlands","B","easy"
"Which team won the Champions League in 2023?","Real Madrid","Manchester City","Inter Milan","B","easy"
"Which Premier League club is John Terry most associated with?","Chelsea","Arsenal","Tottenham","A","easy"
"Which country hosted the 2022 FIFA World Cup?","Qatar","Uruguay","Italy","A","medium"
"Who managed Tottenham from 2019 to 2021?","Mauricio Pochettino","Jose Mourinho","Antonio Conte","B","medium"
"Which club did Jamie Vardy score in 11 consecutive matches for?","Norwich City","Leicester City","Fleetwood Town","B","easy"
"Which country does Eduardo Camavinga represent internationally?","France","Spain","Brazil","A","easy"
"Who won the 2023 Ballon d'Or?","Erling Haaland","Kylian Mbappe","Lionel Messi","C","easy"
"What is a release clause in a football contract?","A clause that releases players from training","A predetermined transfer fee","A buyout of remaining salary","B","medium"
"What is the home stadium of Manchester United?","Old Trafford","Emirates Stadium","Stamford Bridge","A","medium"
"Which Nigerian club won the CAF Champions League in 2003?","Enyimba","Shooting Stars","Rangers","A","medium"
"How many goals did Robert Lewandowski score in 2020-21 Bundesliga?","35","38","41","C","hard"
"Which Premier League club is Harry Kane most associated with?","Tottenham","Arsenal","Chelsea","A","easy"
"Which club has won the most UEFA Champions League titles?","AC Milan","Barcelona","Real Madrid","C","easy"
"Who managed Real Madrid during their 2011-12 title-winning season?","Carlo Ancelotti","Jose Mourinho","Zinedine Zidane","B","medium"
"Who holds the record for most assists in a single La Liga season?","Xavi","Lionel Messi","Luis Suarez","B","hard"
"Which team completed the famous Istanbul comeback in 2005?","AC Milan","Liverpool","Chelsea","B","easy"
"Who is the all-time leading scorer in Women's World Cup?","Marta","Abby Wambach","Megan Rapinoe","A","medium"
"What does 'tiki-taka' refer to in football?","Counter-attacking","Short passing game","Long ball","B","medium"
"What is the home stadium of Tottenham?","Tottenham Hotspur Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"Which national team is Cristiano Ronaldo the captain of?","Portugal","Spain","Brazil","A","easy"
"Which country hosted the 1986 FIFA World Cup?","Mexico","Italy","USA","A","medium"
"What does 'loan with option to buy' mean?","Temporary transfer with purchase right","Rental of training facilities","Borrowing of equipment","A","medium"
"Which player has won the most Champions League titles?","Cristiano Ronaldo","Paco Gento","Paolo Maldini","B","hard"
"Who won La Liga in 2021-22?","Barcelona","Real Madrid","Atletico Madrid","B","medium"
"Which Asian country has won the most Asian Cup titles?","Japan","South Korea","Iran","A","medium"
"Which national team is Virgil van Dijk the captain of?","Netherlands","Belgium","Germany","A","easy"
"What is the traditional number for a center-forward?","7","9","11","B","easy"
"Who is La Liga's all-time top scorer?","Cristiano Ronaldo","Lionel Messi","Raul","B","easy"
"Which country hosted the 1998 FIFA World Cup?","France","South Korea/Japan","Germany","A","medium"
"What is Pele's official international goal tally?","77","95","61","A","hard"
"Which country hosted the 2002 FIFA World Cup?","South Korea/Japan","Germany","South Africa","A","medium"
"What is the record for most goals in a single Premier League match?","5","6","4","A","hard"
"What is the longest unbeaten run in football?","56 games","48 games","52 games","A","hard"
"What is a 'hamstring injury'?","Hip injury","Thigh muscle injury","Calf injury","B","medium"
"Who was the Premier League Player of the Season 2022-23?","Erling Haaland","Kevin De Bruyne","Marcus Rashford","A","easy"
"Which club won the first Champions League under its current format (1992-93)?","AC Milan","Marseille","Barcelona","B","hard"
"What is the offside rule based on?","The ball position","The second-last defender","The goalkeeper","B","easy"
"Which country won Euro 2020?","England","Italy","Spain","B","medium"
"Who has the most international goals in football history?","Cristiano Ronaldo","Ali Daei","Lionel Messi","A","hard"
"Which year did Nigeria win their first Africa Cup of Nations?","1980","1994","2000","A","medium"
"Which Nigerian scored against Argentina in the 1994 World Cup?","Jay-Jay Okocha","Samson Siasia","Rashidi Yekini","B","medium"
"Which Nigerian won the African Footballer of the Year three times?","Jay-Jay Okocha","Kanu Nwankwo","Rashidi Yekini","B","medium"
"What is the typical duration of a professional football contract?","1-2 years","3-5 years","7-10 years","B","medium"
"What is the fastest hat-trick in World Cup history (in minutes)?","11","8","15","A","hard"
"Which player has made the most Premier League appearances?","Frank Lampard","Gareth Barry","Ryan Giggs","B","hard"
"What is the Merseyside derby between?","Liverpool vs Manchester United","Liverpool vs Everton","Everton vs Manchester City","B","easy"
"What number did Lionel Messi wear at Barcelona?","7","10","11","B","easy"
"Who scored Nigeria's winning goal in the 1996 Olympics final?","Kanu Nwankwo","Emmanuel Amunike","Sunday Oliseh","A","hard"
"Who is the Premier League's all-time top scorer?","Wayne Rooney","Alan Shearer","Thierry Henry","B","easy"
"Which country hosted the 1970 FIFA World Cup?","Mexico","Germany","Argentina","A","hard"
"Which country has the most FIFA World Cup appearances?","Germany","Brazil","Italy","B","medium"
"What squad number is traditionally worn by goalkeepers?","1","12","25","A","easy"
"How wide is a football goal?","7.32 meters","8 meters","6.5 meters","A","easy"
"Which team went unbeaten in the 2003-04 Premier League season?","Manchester United","Chelsea","Arsenal","C","easy"
"How long does ACL recovery typically take?","2-3 months","4-6 months","9-12 months","C","medium"
"How many goals did Lionel Messi score in 2012?","91","82","73","A","hard"
"Which country does Vinicius Jr represent internationally?","Brazil","France","Spain","A","easy"
"What is the diameter of a regulation football?","18-20 cm","22-24 cm","26-28 cm","B","easy"
"Which country does Phil Foden represent internationally?","England","France","Spain","A","easy"
"Which country hosted the 2018 FIFA World Cup?","Brazil","Qatar","Russia","C","easy"
"What is the home stadium of Crystal Palace?","Selhurst Park","Emirates Stadium","Stamford Bridge","A","medium"
"Which team finished second in the 2021-22 Premier League season?","Chelsea","Liverpool","Tottenham","B","medium"
"Which Premier League club is Alan Shearer most associated with?","Newcastle","Sunderland","Middlesbrough","A","easy"
"Which club does Mikel Arteta currently or recently manage?","Arsenal","Chelsea","Tottenham","A","easy"
"What is the name of Nigeria's national stadium in Abuja?","National Stadium","Moshood Abiola Stadium","Teslim Balogun Stadium","B","medium"
"What is the home stadium of Arsenal?","Emirates Stadium","Stamford Bridge","Anfield","A","medium"
"What is the Manchester derby between?","Man United vs Man City","Man United vs Liverpool","Man City vs Liverpool","A","easy"
"Which defensive formation has three center-backs?","4-4-2","3-5-2","4-3-3","B","medium"
"How many European Championships has Portugal won?","1","2","0","A","medium"
"Who was the captain of France in the 2018 World Cup final?","Antoine Griezmann","Hugo Lloris","Paul Pogba","B","hard"
"What is 'parking the bus' in football?","Defensive strategy","Attacking strategy","Set piece tactic","A","medium"
"Which Nigerian scored in the 2010 World Cup against Greece?","Yakubu Aiyegbeni","Peter Odemwingie","Kalu Uche","C","medium"
"In which year did Cameroon beat Argentina at the World Cup?","1982","1990","1998","B","hard"
"Which goalkeeper saved two penalties in the 2022 World Cup final shootout?","Hugo Lloris","Emiliano Martinez","Thibaut Courtois","B","medium"
"Which country hosted the 2010 FIFA World Cup?","South Africa","Brazil","Russia","A","medium"
"Which African player was first to win the Ballon d'Or?","George Weah","Samuel Eto'o","Didier Drogba","A","medium"
"Who is the most expensive goalkeeper in history?","Alisson","Kepa Arrizabalaga","Ederson","B","medium"
"What is an ACL injury in football?","Arm injury","Knee ligament injury","Ankle injury","B","medium"
"What is the jersey number of Kylian Mbappe at PSG?","7","10","11","A","easy"
"Who holds the record for fastest Premier League hat-trick?","Robbie Fowler","Sadio Mane","Alan Shearer","B","hard"
"In which country is Ajax based?","Belgium","Netherlands","Denmark","B","medium"
"Which manager has won the most Champions League titles?","Carlo Ancelotti","Bob Paisley","Zinedine Zidane","A","hard"
"What was Neymar's transfer fee from Barcelona to PSG?","222 million euros","180 million euros","150 million euros","A","medium"
"Which team won the DFB-Pokal in 2022-23?","Bayern Munich","RB Leipzig","Eintracht Frankfurt","B","medium"
"Which country hosted the 1974 FIFA World Cup?","Germany","Argentina","Spain","A","hard"
"How many Champions League titles has AC Milan won?","5","6","7","C","hard"
"What is El Clasico?","Real Madrid vs Barcelona","Atletico Madrid vs Sevilla","Valencia vs Villarreal","A","easy"
"Which stadium hosts the FA Cup Final?","Old Trafford","Wembley","Emirates Stadium","B","medium"
"Which club is known as 'Die Borussen'?","Bayern Munich","Borussia Dortmund","Schalke 04","B","medium"
"Which was the first Asian country to reach a World Cup semi-final?","Japan","South Korea","Iran","B","hard"
"Which team did Bayern Munich beat 7-2 in 2019?","Barcelona","Tottenham","Chelsea","B","medium"
"Which country has won the most Africa Cup of Nations titles?","Nigeria","Egypt","Cameroon","B","medium"
"Who is Nigeria's most capped player ever?","Ahmed Musa","Vincent Enyeama","John Obi Mikel","B","medium"
"Who won the Africa Cup of Nations 2023?","Nigeria","Senegal","Ivory Coast","C","easy"
"How many goals did Lionel Messi score in the 2011-12 La Liga season?","46","50","54","B","hard"
"Which Spanish club has produced the most academy players?","Real Madrid","Athletic Bilbao","Barcelona","C","medium"
"How many times has England won the World Cup?","1","2","0","A","medium"
"Which Nigerian club plays at the Nnamdi Azikiwe Stadium?","Rangers International","Enyimba","Enugu Rangers","C","medium"
"Who won the Copa del Rey in 2022-23?","Barcelona","Real Madrid","Real Sociedad","C","medium"
"What does 'concussion protocol' require?","Immediate substitution","Match suspension","Assessment and rest","C","medium"
"Who is the Champions League's all-time top scorer?","Lionel Messi","Cristiano Ronaldo","Robert Lewandowski","B","easy"
"In which year did Liverpool win their 6th Champions League?","2005","2019","2022","B","medium"
"What number did David Beckham wear at Manchester United?","7","23","10","A","easy"
"Who is the youngest player to score in a Champions League final?","Kylian Mbappe","Patrick Kluivert","Raul","B","hard"
"Which Premier League club is Dennis Bergkamp most associated with?","Arsenal","Tottenham","Chelsea","A","easy"
"Which Premier League club is Didier Drogba most associated with?","Chelsea","Arsenal","Tottenham","A","easy"
"Who coached Nigeria to the 2013 AFCON title?","Samson Siasia","Stephen Keshi","Gernot Rohr","B","medium"
"What is 'muscle fatigue' in football?","Bone weakness","Tired muscles from overuse","Joint stiffness","B","medium"
"Which country hosted the 1982 FIFA World Cup?","Spain","Mexico","Italy","A","medium"
"Which club does Erik ten Hag currently or recently manage?","Manchester United","Chelsea","Liverpool","A","easy"
"What is the Milan derby between?","AC Milan vs Juventus","Inter Milan vs Juventus","AC Milan vs Inter Milan","C","easy"
"Which manager has won the most Premier League titles?","Jose Mourinho","Pep Guardiola","Alex Ferguson","C","easy"
"Which country does Kylian Mbappe play for?","Belgium","France","Spain","B","medium"
"Who scored the winning goal in the 2010 World Cup final?","David Villa","Andres Iniesta","Xavi","B","medium"
"Which club does Jamal Musiala currently play for?","Bayern Munich","Chelsea","Manchester United","A","easy"
"In which year did Argentina win their first World Cup?","1978","1986","1966","A","medium"
