questionText,optionA,optionB,optionC,correctAnswer,difficulty,questionTextYoruba,optionAYoruba,optionBYoruba,optionCYoruba,questionTextHausa,optionAHausa,optionBHausa,optionCHausa,questionTextIgbo,optionAIgbo,optionBIgbo,optionCIgbo
Which country hosted the 2018 FIFA World Cup?,Russia,Qatar,Italy,A,medium,Orílẹ̀-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ọdún 2018?,Russia,Qatar,Italy,Wace ƙasa ce ta karɓi baƙuncin gasar cin kofin duniya ta FIFA ta 2018?,Russia,Qatar,Italy,Kedụ mba kwadoro iko mba ụwa nke FIFA nke afọ 2018?,Russia,Qatar,Italy
Which team plays at the San Siro stadium?,Juventus,AC Milan and Inter Milan,Napoli,B,easy,Ẹgbẹ́ wo ló ń gbá bọ́ọ̀lù ní pápá ìṣeré San Siro?,Juventus,AC Milan and Inter Milan,Napoli,Wace ƙungiya ce ke buga wasa a filin wasa na San Siro?,Juventus,AC Milan and Inter Milan,Napoli,Kedụ otu egwuregwu na-egwu n'ámá egwuregwu San Siro?,Juventus,AC Milan and Inter Milan,Napoli
Which club has won the most Premier League titles?,Liverpool,Chelsea,Manchester United,C,easy,Ẹgbẹ́ wo ló ti gba àwọn àmì-ẹ̀yẹ Premier League tó pọ̀ jùlọ?,Liverpool,Chelsea,Manchester United,Wace ƙungiya ce ta fi lashe gasar Premier?,Liverpool,Chelsea,Manchester United,Kedụ klọb ndị meriri ọtụtụ iko Premier League?,Liverpool,Chelsea,Manchester United
Which player won the most Serie A Player of the Year awards?,Paolo Maldini,Francesco Totti,Alessandro Del Piero,B,hard,Èwo ni ó gba àmì ẹ̀yẹ tó pọ̀ jùlọ fún àwọn tó gba ẹ̀bùn fún ẹ̀rọ orin tó dára jùlọ ní Serie A?,Paolo Maldini,Francesco Totti,Alessandro Del Piero,Wane ɗan wasa ne ya fi lashe kyautar ɗan wasan shekara ta Serie A?,Paolo Maldini,Francesco Totti,Alessandro Del Piero,Kedụ onye egwuregwu meriri ihe nrite kachasị na Serie A Player of the Year?,Paolo Maldini,Francesco Totti,Alessandro Del Piero
Who is the youngest player to score in a World Cup final?,Kylian Mbappe,Pele,Michael Owen,B,medium,Ta ni ẹni tó kéré jùlọ tó gba àmì-ẹ̀yẹ ní ìparí ìdíje àgbáyé?,Kylian Mbappe,Pele,Michael Owen,Wanene ɗan wasa mafi ƙanƙanta da ya ci kwallo a wasan ƙarshe na gasar cin kofin duniya?,Kylian Mbappe,Pele,Michael Owen,Ònye bụ onye kacha nta n'ime ndị egwuregwu ga-agba bọọlụ n'asọmpi ikpeazụ nke iko mba ụwa?,Kylian Mbappe,Pele,Michael Owen
How many goals did Erling Haaland score on his Premier League debut?,1,2,3,B,medium,Àwọn góólù mélòó ni Erling Haaland gba ní ìgbà àkọ́kọ́ rẹ̀ ní Premier League?,1,2,3,Erling Haaland ya zura kwallaye nawa a wasansa na farko a gasar Premier?,1,2,3,Erling Haaland nyere goolu ole n'egwuregwu mbụ ya na Premier League?,1,2,3
Which country hosted the 1958 FIFA World Cup?,Sweden,Chile,England,A,hard,Orílẹ̀-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ọdún 1958?,Sweden,Chile,England,Wace ƙasa ce ta karɓi baƙuncin gasar cin kofin duniya ta FIFA ta 1958?,Sweden,Chile,England,Kedụ mba kwadoro iko mba ụwa nke FIFA nke afọ 1958?,Sweden,Chile,England
Who scored a hat-trick in the 1999 Champions League final?,No one scored a hat-trick,Teddy Sheringham,Ole Gunnar Solskjaer,A,hard,Ta ló gba àmì-ẹ̀yẹ kan ní ìparí ìdíje Champions League ọdún 1999?,No one scored a hat-trick,Teddy Sheringham,Ole Gunnar Solskjaer,Wa ya ci kwallaye uku a wasan karshe na gasar zakarun Turai ta 1999?,No one scored a hat-trick,Teddy Sheringham,Ole Gunnar Solskjaer,Ònye nyere hat-trick n'asọmpi ikpeazụ nke Champions League nke afọ 1999?,No one scored a hat-trick,Teddy Sheringham,Ole Gunnar Solskjaer
Who managed Borussia Dortmund to their 2011 and 2012 titles?,Thomas Tuchel,Jurgen Klopp,Lucien Favre,B,easy,Ta ló ṣe àṣeyọrí Borussia Dortmund láti gba àmì-ẹ̀yẹ wọn ní ọdún 2011 àti 2012?,Thomas Tuchel,Jurgen Klopp,Lucien Favre,Wanene ya jagoranci Borussia Dortmund har ta lashe gasar zakarun Turai a shekarar 2011 da 2012?,Thomas Tuchel,Jurgen Klopp,Lucien Favre,Ònye ji Borussia Dortmund nweta iko ha n'afọ 2011 na 2012?,Thomas Tuchel,Jurgen Klopp,Lucien Favre
What is the home stadium of Aston Villa?,Villa Park,Emirates Stadium,Stamford Bridge,A,medium,Pápá ìṣeré Aston Villa wo ni?,Villa Park,Emirates Stadium,Stamford Bridge,Menene filin wasan Aston Villa na gida?,Villa Park,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Aston Villa dị?,Villa Park,Emirates Stadium,Stamford Bridge
How many Premier League titles did Chelsea win under Jose Mourinho?,2,3,4,B,medium,Àwọn oyè Premier League mélòó ni Chelsea gbà lábẹ́ Jose Mourinho?,2,3,4,Kofin Premier nawa Chelsea ta lashe a lokacin Jose Mourinho?,2,3,4,Kedụ iko Premier League ole ka Chelsea meriri n'oge Jose Mourinho?,2,3,4
Who scored the most goals in a single calendar year?,Cristiano Ronaldo,Lionel Messi,Gerd Muller,B,medium,Ta ni o gba awọn góòlù pupọ julọ ni ọdun kan?,Cristiano Ronaldo,Lionel Messi,Gerd Muller,Wa ya fi zura kwallaye a shekara guda?,Cristiano Ronaldo,Lionel Messi,Gerd Muller,Ònye nyere goolu kachasị n'otu afọ?,Cristiano Ronaldo,Lionel Messi,Gerd Muller
Which country did Samuel Eto'o represent internationally?,Nigeria,Senegal,Cameroon,C,easy,Orílẹ̀-èdè wo ni Samuel Eto'o ṣe aṣojú fún kárí ayé?,Nigeria,Senegal,Cameroon,Wace ƙasa Samuel Eto'o ya wakilta a ƙasashen duniya?,Nigeria,Senegal,Cameroon,Kedụ mba Samuel Eto'o nọchitere anya ya n'ụwa niile?,Nigeria,Senegal,Cameroon
What is the home stadium of Everton?,Goodison Park,Emirates Stadium,Stamford Bridge,A,medium,Pápá ìṣeré wo ni Everton ń gbé?,Goodison Park,Emirates Stadium,Stamford Bridge,Menene filin wasan Everton na gida?,Goodison Park,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Everton dị?,Goodison Park,Emirates Stadium,Stamford Bridge
Who won the Golden Ball at the 2022 World Cup?,Kylian Mbappe,Lionel Messi,Luka Modric,B,easy,Ta ló gba Golden Ball ní World Cup 2022?,Kylian Mbappe,Lionel Messi,Luka Modric,Wa ya lashe kyautar Golden Ball a gasar cin kofin duniya ta 2022?,Kylian Mbappe,Lionel Messi,Luka Modric,Ònye meriri bọọlụ ọlaedo na iko mba ụwa nke afọ 2022?,Kylian Mbappe,Lionel Messi,Luka Modric
Which country won the first ever FIFA World Cup in 1930?,Brazil,Argentina,Uruguay,C,medium,Orílẹ̀-èdè wo ló gba ife-ẹ̀yẹ àgbáyé FIFA àkọ́kọ́ ní ọdún 1930?,Brazil,Argentina,Uruguay,Wace ƙasa ce ta lashe gasar cin kofin duniya ta FIFA a karon farko a shekarar 1930?,Brazil,Argentina,Uruguay,Kedụ mba meriri iko mba ụwa mbụ nke FIFA n'afọ 1930?,Brazil,Argentina,Uruguay
Which player is nicknamed 'The Flea'?,Neymar,Lionel Messi,Eden Hazard,B,easy,Èwo ni wọ́n ń pè ní 'The Flea'?,Neymar,Lionel Messi,Eden Hazard,Wane ɗan wasa ne ake yi wa lakabi da 'The Flea'?,Neymar,Lionel Messi,Eden Hazard,Onye ọkpụkpọ ọ bụla ka a na-akpọ 'The Flea'?,Neymar,Lionel Messi,Eden Hazard
Which English club won the Champions League in 2012?,Manchester United,Liverpool,Chelsea,C,medium,Ẹgbẹ́ Gẹ̀ẹ́sì wo ló gba Champions League ní ọdún 2012?,Manchester United,Liverpool,Chelsea,Wace ƙungiyar Ingila ce ta lashe gasar zakarun Turai a shekarar 2012?,Manchester United,Liverpool,Chelsea,Kedụ otu egwuregwu Bekee meriri Champions League n'afọ 2012?,Manchester United,Liverpool,Chelsea
Who scored the fastest goal in World Cup history?,Hakan Sukur,Vaclav Masek,Ernst Lehner,A,hard,Ta ni ó gba bọ́ọ̀lù tó yára jùlọ nínú ìtàn World Cup?,Hakan Sukur,Vaclav Masek,Ernst Lehner,Wa ya zura kwallo mafi sauri a tarihin gasar cin kofin duniya?,Hakan Sukur,Vaclav Masek,Ernst Lehner,Ònye nyere goolu kachasị ọsọ n'akụkọ ihe mere eme nke iko mba ụwa?,Hakan Sukur,Vaclav Masek,Ernst Lehner
In which country was the 2010 World Cup held?,South Africa,Germany,Brazil,A,easy,Orílẹ̀-èdè wo ni wọ́n ti ṣe ìdíje World Cup ti ọdún 2010?,South Africa,Germany,Brazil,A wace ƙasa aka gudanar da gasar cin kofin duniya ta 2010?,South Africa,Germany,Brazil,N'obodo ole ka emere iko mba ụwa nke afọ 2010?,South Africa,Germany,Brazil
Which stadium is known as 'The Theatre of Dreams'?,Anfield,Old Trafford,Emirates Stadium,B,medium,Pápá ìṣeré wo ni a mọ̀ sí 'The Theatre of Dreams'?,Anfield,Old Trafford,Emirates Stadium,Wane filin wasa ne aka fi sani da 'The Theatre of Dreams'?,Anfield,Old Trafford,Emirates Stadium,Ebe egwuregwu dị aṅaa ka a maara dị ka 'The Theatre of Dreams'?,Anfield,Old Trafford,Emirates Stadium
How many goals has Cristiano Ronaldo scored in his career?,Over 700,Over 800,Over 900,B,medium,Àwọn góólù mélòó ni Cristiano Ronaldo ti gbá ní iṣẹ́ rẹ̀?,Over 700,Over 800,Over 900,Kwallaye nawa Cristiano Ronaldo ya ci a rayuwarsa?,Over 700,Over 800,Over 900,Goolu ole ka Cristiano Ronaldo nyere n'ọrụ ya?,Over 700,Over 800,Over 900
Which country will host the 2026 FIFA World Cup?,"USA, Canada, Mexico",Australia,Morocco,A,medium,Orílẹ̀-èdè wo ni yóò gbàlejò fún ìdíje FIFA World Cup ti ọdún 2026?,"USA, Canada, Mexico",Australia,Morocco,Wace ƙasa ce za ta karɓi baƙuncin gasar cin kofin duniya ta FIFA ta 2026?,"USA, Canada, Mexico",Australia,Morocco,Kedụ mba ga-akwado iko mba ụwa nke FIFA nke afọ 2026?,"USA, Canada, Mexico",Australia,Morocco
Who scored the winning goal in the 2019 Champions League final?,Sadio Mane,Mohamed Salah,Divock Origi,C,hard,Ta ló gba bọ́ọ̀lù tó jáwé olúborí ní ìparí ìdíje Champions League ti ọdún 2019?,Sadio Mane,Mohamed Salah,Divock Origi,Wa ya zura kwallon da ta yi nasara a wasan karshe na gasar zakarun Turai ta 2019?,Sadio Mane,Mohamed Salah,Divock Origi,Onye nyere goolu mmeri na asọmpi ikpeazụ nke Champions League nke afọ 2019?,Sadio Mane,Mohamed Salah,Divock Origi
What is the home stadium of Nottingham Forest?,City Ground,Emirates Stadium,Stamford Bridge,A,medium,Pápá ìṣeré Nottingham Forest wo ni ilé wọn?,City Ground,Emirates Stadium,Stamford Bridge,Menene filin wasan Nottingham Forest na gida?,City Ground,Emirates Stadium,Stamford Bridge,Kedu ebe ama egwuregwu Nottingham Forest dị?,City Ground,Emirates Stadium,Stamford Bridge
Which player has the most Premier League assists?,Ryan Giggs,Kevin De Bruyne,Cesc Fabregas,A,medium,Ẹlẹ́gbẹ́ wo ló ní àwọn olùrànlọ́wọ́ tó pọ̀ jùlọ ní Premier League?,Ryan Giggs,Kevin De Bruyne,Cesc Fabregas,Wane ɗan wasa ne ya fi samun taimako a gasar Premier?,Ryan Giggs,Kevin De Bruyne,Cesc Fabregas,Kedụ onye ọkpụkpọ kacha enye aka na Premier League?,Ryan Giggs,Kevin De Bruyne,Cesc Fabregas
Which team did Barcelona beat 4-0 in the 2011 Champions League final?,Chelsea,Manchester United,Arsenal,B,medium,Ẹgbẹ́ wo ni Barcelona fi 4-0 lu ní ìparí Champions League ti ọdún 2011?,Chelsea,Manchester United,Arsenal,Wace ƙungiya ce Barcelona ta doke 4-0 a wasan ƙarshe na gasar zakarun Turai ta 2011?,Chelsea,Manchester United,Arsenal,Kedụ otu ndị otu Barcelona meriri 4-0 na asọmpi ikpeazụ nke Champions League nke afọ 2011?,Chelsea,Manchester United,Arsenal
Who managed Leicester City to their Premier League title in 2016?,Brendan Rodgers,Claudio Ranieri,Nigel Pearson,B,easy,Ta ló ṣe àṣeyọrí Leicester City láti gba àmì-ẹ̀yẹ Premier League wọn ní ọdún 2016?,Brendan Rodgers,Claudio Ranieri,Nigel Pearson,Wanene ya jagoranci Leicester City zuwa lashe gasar Premier a shekarar 2016?,Brendan Rodgers,Claudio Ranieri,Nigel Pearson,Onye ji Leicester City nweta iko Premier League ha n'afọ 2016?,Brendan Rodgers,Claudio Ranieri,Nigel Pearson
Who was the captain of France's 1998 World Cup winning team?,Zinedine Zidane,Didier Deschamps,Laurent Blanc,B,medium,Ta ni olórí ẹgbẹ́ tó gba ife ẹ̀yẹ àgbáyé ní ilẹ̀ Faransé ní ọdún 1998?,Zinedine Zidane,Didier Deschamps,Laurent Blanc,Wanene kyaftin ɗin ƙungiyar da ta lashe gasar cin kofin duniya ta Faransa a shekarar 1998?,Zinedine Zidane,Didier Deschamps,Laurent Blanc,Ònye bụ onyeisi ndị otu mmeri iko mba ụwa nke mba Fransị n'afọ 1998?,Zinedine Zidane,Didier Deschamps,Laurent Blanc
Which country has won the most FIFA World Cups?,Germany,Brazil,Italy,B,easy,Orílẹ̀-èdè wo ló ti gba àwọn ìdíje FIFA World Cup tó pọ̀ jùlọ?,Germany,Brazil,Italy,Wace ƙasa ce ta fi lashe gasar cin kofin duniya ta FIFA?,Germany,Brazil,Italy,Kedụ mba meriri iko mba ụwa FIFA kacha?,Germany,Brazil,Italy
Which country hosted the 2006 FIFA World Cup?,Germany,South Africa,Brazil,A,medium,Orílẹ̀-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ọdún 2006?,Germany,South Africa,Brazil,Wace ƙasa ce ta karɓi baƙuncin gasar cin kofin duniya ta FIFA ta 2006?,Germany,South Africa,Brazil,Kedụ mba kwadoro iko mba ụwa nke FIFA nke afọ 2006?,Germany,South Africa,Brazil
What number did Andrea Pirlo wear at Juventus?,10,21,6,B,easy,Nọ́mbà wo ni Andrea Pirlo wọ̀ ní Juventus?,10,21,6,Wace lamba Andrea Pirlo ya saka a Juventus?,10,21,6,Kedụ nọmba Andrea Pirlo yi na Juventus?,10,21,6
Who won the CAF Player of the Year 2022?,Mohamed Salah,Sadio Mane,Riyad Mahrez,B,medium,Ta ló gba àmì ẹ̀yẹ CAF Player of the Year ní ọdún 2022?,Mohamed Salah,Sadio Mane,Riyad Mahrez,Wa ya lashe kyautar gwarzon ɗan wasan CAF na shekarar 2022?,Mohamed Salah,Sadio Mane,Riyad Mahrez,Onye meriri n'asọmpi CAF Player of the Year nke afọ 2022?,Mohamed Salah,Sadio Mane,Riyad Mahrez
What is the home stadium of Sheffield United?,Bramall Lane,Emirates Stadium,Stamford Bridge,A,medium,Pápá ìṣeré Sheffield United wo ni ilé wọn?,Bramall Lane,Emirates Stadium,Stamford Bridge,Menene filin wasan Sheffield United na gida?,Bramall Lane,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Sheffield United dị?,Bramall Lane,Emirates Stadium,Stamford Bridge
Which Premier League club is Kevin De Bruyne most associated with?,Manchester City,Manchester United,Arsenal,A,easy,Ẹgbẹ́ Premier League wo ni Kevin De Bruyne ti ṣe àjọṣepọ̀ rẹ̀ jùlọ?,Manchester City,Manchester United,Arsenal,Wace ƙungiyar Premier League Kevin De Bruyne ya fi sha'awarta?,Manchester City,Manchester United,Arsenal,Kedụ otu egwuregwu Premier League kacha amasị Kevin De Bruyne?,Manchester City,Manchester United,Arsenal
What is the record for most goals in a single Champions League season?,14,17,12,B,hard,Kí ni àkọsílẹ̀ tó wà fún àwọn góólù tó pọ̀ jùlọ ní àsìkò Champions League kan ṣoṣo?,14,17,12,Menene tarihin yawan kwallaye da aka ci a kakar wasa daya ta gasar zakarun Turai?,14,17,12,Kedụ ihe ndekọ maka ọtụtụ goolu n'otu oge Champions League?,14,17,12
Who won the Premier League Golden Boot in 2022-23?,Erling Haaland,Harry Kane,Ivan Toney,A,medium,Ta ló gba àmì-ẹ̀yẹ wúrà Premier League ní ọdún 2022-23?,Erling Haaland,Harry Kane,Ivan Toney,Wa ya lashe kyautar takalmin zinare ta Premier a 2022-23?,Erling Haaland,Harry Kane,Ivan Toney,Onye meriri akpụkpọ ụkwụ ọlaedo nke Premier League n'afọ 2022-23?,Erling Haaland,Harry Kane,Ivan Toney
Which country hosted the 1954 FIFA World Cup?,Switzerland,Sweden,Chile,A,hard,Orílẹ̀-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ọdún 1954?,Switzerland,Sweden,Chile,Wace ƙasa ce ta karɓi baƙuncin gasar cin kofin duniya ta FIFA ta 1954?,Switzerland,Sweden,Chile,Kedụ mba kwadoro iko mba ụwa nke FIFA nke afọ 1954?,Switzerland,Sweden,Chile
How much did Manchester City pay for Jack Grealish?,100 million pounds,80 million pounds,120 million pounds,A,medium,Èló ni Manchester City san fún Jack Grealish?,100 million pounds,80 million pounds,120 million pounds,Nawa ne kudin da Manchester City ta biya wajen siyan Jack Grealish?,100 million pounds,80 million pounds,120 million pounds,Ego ole ka Manchester City kwụrụ maka Jack Grealish?,100 million pounds,80 million pounds,120 million pounds
Which Premier League club is Virgil van Dijk most associated with?,Liverpool,Manchester City,Chelsea,A,easy,Ẹgbẹ́ Premier League wo ni Virgil van Dijk ti ní ìbáṣepọ̀ pẹ̀lú jùlọ?,Liverpool,Manchester City,Chelsea,Wace ƙungiyar Premier League ce Virgil van Dijk ya fi sha'awarta?,Liverpool,Manchester City,Chelsea,Kedụ otu egwuregwu Premier League kacha amasị Virgil van Dijk?,Liverpool,Manchester City,Chelsea
In which year was the Premier League founded?,1990,1992,1994,B,medium,Ní ọdún wo ni wọ́n dá Premier League sílẹ̀?,1990,1992,1994,A wace shekara aka kafa gasar Premier League?,1990,1992,1994,N'afọ ole ka e hiwere Premier League?,1990,1992,1994
How many Olympic gold medals did Michael Phelps win?,18,23,28,B,medium,Àwọn àmì-ẹ̀yẹ wúrà mélòó ni Michael Phelps gbà?,18,23,28,Nawa lambobin zinare na Olympics Michael Phelps ya lashe?,18,23,28,Ego ole ka Michael Phelps meriri n'egwuregwu Olympic?,18,23,28
What is the maximum number of players a team can name in their squad?,23,25,30,B,easy,Kí ni iye àwọn òṣèré tí ẹgbẹ́ kan lè dárúkọ nínú ẹgbẹ́ wọn?,23,25,30,Menene matsakaicin adadin 'yan wasan da ƙungiya za ta iya ambata a cikin ƙungiyarta?,23,25,30,Kedụ ọnụọgụgụ kachasị nke ndị otu nwere ike ịkpọ aha n'òtù ha?,23,25,30
Which country does Jude Bellingham represent internationally?,England,France,Spain,A,easy,Orílẹ̀-èdè wo ni Jude Bellingham ń ṣojú fún kárí ayé?,England,France,Spain,Wace ƙasa ce Jude Bellingham ke wakilta a duk duniya?,England,France,Spain,Kedụ mba Jude Bellingham na-anọchite anya mba ụwa?,England,France,Spain
How many World Cups did Pele win?,2,3,4,B,medium,Àwọn ife-ẹyẹ àgbáyé mélòó ni Pele gbà?,2,3,4,Kofin Duniya nawa Pele ya lashe?,2,3,4,Pele meriri iko mba ụwa ole?,2,3,4
Who managed Real Madrid to three consecutive Champions League titles?,Jose Mourinho,Carlo Ancelotti,Zinedine Zidane,C,medium,Ta ló ṣe àkóso Real Madrid láti gba ife ẹ̀yẹ Champions League mẹ́ta ní ìtẹ̀léra?,Jose Mourinho,Carlo Ancelotti,Zinedine Zidane,Wa ya jagoranci Real Madrid zuwa lashe gasar zakarun Turai sau uku a jere?,Jose Mourinho,Carlo Ancelotti,Zinedine Zidane,Ònye ji Real Madrid merie iko Champions League ugboro atọ n'usoro?,Jose Mourinho,Carlo Ancelotti,Zinedine Zidane
Which country hosted the 1938 FIFA World Cup?,France,Brazil,Switzerland,A,hard,Orílẹ̀-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ọdún 1938?,France,Brazil,Switzerland,Wace ƙasa ce ta karɓi baƙuncin gasar cin kofin duniya ta FIFA ta 1938?,France,Brazil,Switzerland,Kedụ mba kwadoro iko mba ụwa nke FIFA nke afọ 1938?,France,Brazil,Switzerland
Which English club did George Best play for?,Liverpool,Manchester United,Chelsea,B,medium,Ẹgbẹ́ Gẹ̀ẹ́sì wo ni George Best gbá bọ́ọ̀lù fún?,Liverpool,Manchester United,Chelsea,Wace ƙungiyar Ingila ce George Best ya buga wa wasa?,Liverpool,Manchester United,Chelsea,Kedụ klọb ndị Bekee ka George Best gbara bọọlụ?,Liverpool,Manchester United,Chelsea
In which year did Atletico Madrid last win La Liga?,2014,2021,2018,B,medium,Ní ọdún wo ni Atletico Madrid gba La Liga kẹ́yìn?,2014,2021,2018,A wace shekara ce Atletico Madrid ta lashe gasar La Liga a karo na karshe?,2014,2021,2018,N'afọ ole ka Atletico Madrid meriri La Liga ikpeazụ?,2014,2021,2018
What is the Old Firm derby?,Celtic vs Rangers,Hearts vs Hibernian,Aberdeen vs Dundee,A,easy,Kí ni Old Firm derby?,Celtic vs Rangers,Hearts vs Hibernian,Aberdeen vs Dundee,Menene wasan tsere na Old Firm?,Celtic vs Rangers,Hearts vs Hibernian,Aberdeen vs Dundee,Gịnị bụ Old Firm Derby?,Celtic vs Rangers,Hearts vs Hibernian,Aberdeen vs Dundee
Who scored 36 goals for Napoli in 2022-23 Serie A?,Khvicha Kvaratskhelia,Victor Osimhen,Giacomo Raspadori,B,medium,Ta ni o gba awọn gọọlu 36 fun Napoli ni 2022-23 Serie A?,Khvicha Kvaratskhelia,Victor Osimhen,Giacomo Raspadori,Wa ya zura kwallaye 36 a Napoli a gasar Serie A ta 2022-23?,Khvicha Kvaratskhelia,Victor Osimhen,Giacomo Raspadori,Onye nyere goolu iri atọ na isii maka Napoli na 2022-23 Serie A?,Khvicha Kvaratskhelia,Victor Osimhen,Giacomo Raspadori
What formation did Pep Guardiola's Barcelona famously use?,4/3/2003,4/4/2002,3/5/2002,A,medium,"Irú ìṣètò wo ni Pep Guardiola, Barcelona, lò lókìkí?",4/3/2003,4/4/2002,3/5/2002,Wane tsari ne ƙungiyar Pep Guardiola ta Barcelona ta yi amfani da shi sosai?,4/3/2003,4/4/2002,3/5/2002,Kedụ nhazi nke Pep Guardiola nke Barcelona ji ama ama?,4/3/2003,4/4/2002,3/5/2002
Which club does Vinicius Jr currently play for?,Real Madrid,Chelsea,Manchester United,A,easy,Ẹgbẹ́ wo ni Vinicius Jr ń gbá bọ́ọ̀lù fún lọ́wọ́lọ́wọ́?,Real Madrid,Chelsea,Manchester United,Wace kungiya Vinicius Jr yake bugawa a yanzu?,Real Madrid,Chelsea,Manchester United,Kedụ klọb Vinicius Jr na-egwuri egwu ugbu a?,Real Madrid,Chelsea,Manchester United
