questionText,optionA,optionB,optionC,correctAnswer,difficulty,questionTextYoruba,optionAYoruba,optionBYoruba,optionCYoruba,questionTextHausa,optionAHausa,optionBHausa,optionCHausa,questionTextIgbo,optionAIgbo,optionBIgbo,optionCIgbo
Which country won the first ever FIFA World Cup in 1930?,Brazil,Argentina,Uruguay,C,medium,Oríl??-èdè wo ló gba ife-??y? àgbáyé FIFA àk??k?? ní ?dún 1930?,Brazil,Argentina,Uruguay,Wace ?asa ce ta lashe gasar cin kofin duniya ta FIFA a karon farko a shekarar 1930?,Brazil,Argentina,Uruguay,Ked? mba meriri iko mba ?wa mb? nke FIFA n'af? 1930?,Brazil,Argentina,Uruguay
Which player is nicknamed 'The Flea'?,Neymar,Lionel Messi,Eden Hazard,B,easy,Èwo ni w??n ? pè ní 'The Flea'?,Neymar,Lionel Messi,Eden Hazard,Wane ?an wasa ne ake yi wa lakabi da 'The Flea'?,Neymar,Lionel Messi,Eden Hazard,Onye ?kp?kp? ? b?la ka a na-akp? 'The Flea'?,Neymar,Lionel Messi,Eden Hazard
Which English club won the Champions League in 2012?,Manchester United,Liverpool,Chelsea,C,medium,?gb?? G????sì wo ló gba Champions League ní ?dún 2012?,Manchester United,Liverpool,Chelsea,Wace ?ungiyar Ingila ce ta lashe gasar zakarun Turai a shekarar 2012?,Manchester United,Liverpool,Chelsea,Ked? otu egwuregwu Bekee meriri Champions League n'af? 2012?,Manchester United,Liverpool,Chelsea
Who scored the fastest goal in World Cup history?,Hakan Sukur,Vaclav Masek,Ernst Lehner,A,hard,Ta ni ó gba b????lù tó yára jùl? nínú ìtàn World Cup?,Hakan Sukur,Vaclav Masek,Ernst Lehner,Wa ya zura kwallo mafi sauri a tarihin gasar cin kofin duniya?,Hakan Sukur,Vaclav Masek,Ernst Lehner,Ònye nyere goolu kachas? ?s? n'ak?k? ihe mere eme nke iko mba ?wa?,Hakan Sukur,Vaclav Masek,Ernst Lehner
In which country was the 2010 World Cup held?,South Africa,Germany,Brazil,A,easy,Oríl??-èdè wo ni w??n ti ?e ìdíje World Cup ti ?dún 2010?,South Africa,Germany,Brazil,A wace ?asa aka gudanar da gasar cin kofin duniya ta 2010?,South Africa,Germany,Brazil,N'obodo ole ka emere iko mba ?wa nke af? 2010?,South Africa,Germany,Brazil
Which stadium is known as 'The Theatre of Dreams'?,Anfield,Old Trafford,Emirates Stadium,B,medium,Pápá ì?eré wo ni a m?? sí 'The Theatre of Dreams'?,Anfield,Old Trafford,Emirates Stadium,Wane filin wasa ne aka fi sani da 'The Theatre of Dreams'?,Anfield,Old Trafford,Emirates Stadium,Ebe egwuregwu d? a?aa ka a maara d? ka 'The Theatre of Dreams'?,Anfield,Old Trafford,Emirates Stadium
How many goals has Cristiano Ronaldo scored in his career?,Over 700,Over 800,Over 900,B,medium,Àw?n góólù mélòó ni Cristiano Ronaldo ti gbá ní i??? r???,Over 700,Over 800,Over 900,Kwallaye nawa Cristiano Ronaldo ya ci a rayuwarsa?,Over 700,Over 800,Over 900,Goolu ole ka Cristiano Ronaldo nyere n'?r? ya?,Over 700,Over 800,Over 900
Which country will host the 2026 FIFA World Cup?,"USA, Canada, Mexico",Australia,Morocco,A,medium,Oríl??-èdè wo ni yóò gbàlejò fún ìdíje FIFA World Cup ti ?dún 2026?,"USA, Canada, Mexico",Australia,Morocco,Wace ?asa ce za ta kar?i ba?uncin gasar cin kofin duniya ta FIFA ta 2026?,"USA, Canada, Mexico",Australia,Morocco,Ked? mba ga-akwado iko mba ?wa nke FIFA nke af? 2026?,"USA, Canada, Mexico",Australia,Morocco
Who scored the winning goal in the 2019 Champions League final?,Sadio Mane,Mohamed Salah,Divock Origi,C,hard,Ta ló gba b????lù tó jáwé olúborí ní ìparí ìdíje Champions League ti ?dún 2019?,Sadio Mane,Mohamed Salah,Divock Origi,Wa ya zura kwallon da ta yi nasara a wasan karshe na gasar zakarun Turai ta 2019?,Sadio Mane,Mohamed Salah,Divock Origi,Onye nyere goolu mmeri na as?mpi ikpeaz? nke Champions League nke af? 2019?,Sadio Mane,Mohamed Salah,Divock Origi
What is the home stadium of Nottingham Forest?,City Ground,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré Nottingham Forest wo ni ilé w?n?,City Ground,Emirates Stadium,Stamford Bridge,Menene filin wasan Nottingham Forest na gida?,City Ground,Emirates Stadium,Stamford Bridge,Kedu ebe ama egwuregwu Nottingham Forest d??,City Ground,Emirates Stadium,Stamford Bridge
Which player has the most Premier League assists?,Ryan Giggs,Kevin De Bruyne,Cesc Fabregas,A,medium,?l??gb?? wo ló ní àw?n olùrànl??w?? tó p?? jùl? ní Premier League?,Ryan Giggs,Kevin De Bruyne,Cesc Fabregas,Wane ?an wasa ne ya fi samun taimako a gasar Premier?,Ryan Giggs,Kevin De Bruyne,Cesc Fabregas,Ked? onye ?kp?kp? kacha enye aka na Premier League?,Ryan Giggs,Kevin De Bruyne,Cesc Fabregas
Which team did Barcelona beat 4-0 in the 2011 Champions League final?,Chelsea,Manchester United,Arsenal,B,medium,?gb?? wo ni Barcelona fi 4-0 lu ní ìparí Champions League ti ?dún 2011?,Chelsea,Manchester United,Arsenal,Wace ?ungiya ce Barcelona ta doke 4-0 a wasan ?arshe na gasar zakarun Turai ta 2011?,Chelsea,Manchester United,Arsenal,Ked? otu nd? otu Barcelona meriri 4-0 na as?mpi ikpeaz? nke Champions League nke af? 2011?,Chelsea,Manchester United,Arsenal
Who managed Leicester City to their Premier League title in 2016?,Brendan Rodgers,Claudio Ranieri,Nigel Pearson,B,easy,Ta ló ?e à?ey?rí Leicester City láti gba àmì-??y? Premier League w?n ní ?dún 2016?,Brendan Rodgers,Claudio Ranieri,Nigel Pearson,Wanene ya jagoranci Leicester City zuwa lashe gasar Premier a shekarar 2016?,Brendan Rodgers,Claudio Ranieri,Nigel Pearson,Onye ji Leicester City nweta iko Premier League ha n'af? 2016?,Brendan Rodgers,Claudio Ranieri,Nigel Pearson
Who was the captain of France's 1998 World Cup winning team?,Zinedine Zidane,Didier Deschamps,Laurent Blanc,B,medium,Ta ni olórí ?gb?? tó gba ife ??y? àgbáyé ní il?? Faransé ní ?dún 1998?,Zinedine Zidane,Didier Deschamps,Laurent Blanc,Wanene kyaftin ?in ?ungiyar da ta lashe gasar cin kofin duniya ta Faransa a shekarar 1998?,Zinedine Zidane,Didier Deschamps,Laurent Blanc,Ònye b? onyeisi nd? otu mmeri iko mba ?wa nke mba Frans? n'af? 1998?,Zinedine Zidane,Didier Deschamps,Laurent Blanc
Which country has won the most FIFA World Cups?,Germany,Brazil,Italy,B,easy,Oríl??-èdè wo ló ti gba àw?n ìdíje FIFA World Cup tó p?? jùl??,Germany,Brazil,Italy,Wace ?asa ce ta fi lashe gasar cin kofin duniya ta FIFA?,Germany,Brazil,Italy,Ked? mba meriri iko mba ?wa FIFA kacha?,Germany,Brazil,Italy
Which country hosted the 2006 FIFA World Cup?,Germany,South Africa,Brazil,A,medium,Oríl??-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ?dún 2006?,Germany,South Africa,Brazil,Wace ?asa ce ta kar?i ba?uncin gasar cin kofin duniya ta FIFA ta 2006?,Germany,South Africa,Brazil,Ked? mba kwadoro iko mba ?wa nke FIFA nke af? 2006?,Germany,South Africa,Brazil
What number did Andrea Pirlo wear at Juventus?,10,21,6,B,easy,N??mbà wo ni Andrea Pirlo w?? ní Juventus?,10,21,6,Wace lamba Andrea Pirlo ya saka a Juventus?,10,21,6,Ked? n?mba Andrea Pirlo yi na Juventus?,10,21,6
Who won the CAF Player of the Year 2022?,Mohamed Salah,Sadio Mane,Riyad Mahrez,B,medium,Ta ló gba àmì ??y? CAF Player of the Year ní ?dún 2022?,Mohamed Salah,Sadio Mane,Riyad Mahrez,Wa ya lashe kyautar gwarzon ?an wasan CAF na shekarar 2022?,Mohamed Salah,Sadio Mane,Riyad Mahrez,Onye meriri n'as?mpi CAF Player of the Year nke af? 2022?,Mohamed Salah,Sadio Mane,Riyad Mahrez
What is the home stadium of Sheffield United?,Bramall Lane,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré Sheffield United wo ni ilé w?n?,Bramall Lane,Emirates Stadium,Stamford Bridge,Menene filin wasan Sheffield United na gida?,Bramall Lane,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Sheffield United d??,Bramall Lane,Emirates Stadium,Stamford Bridge
Which Premier League club is Kevin De Bruyne most associated with?,Manchester City,Manchester United,Arsenal,A,easy,?gb?? Premier League wo ni Kevin De Bruyne ti ?e àj??ep?? r?? jùl??,Manchester City,Manchester United,Arsenal,Wace ?ungiyar Premier League Kevin De Bruyne ya fi sha'awarta?,Manchester City,Manchester United,Arsenal,Ked? otu egwuregwu Premier League kacha amas? Kevin De Bruyne?,Manchester City,Manchester United,Arsenal
What is the record for most goals in a single Champions League season?,14,17,12,B,hard,Kí ni àk?síl?? tó wà fún àw?n góólù tó p?? jùl? ní àsìkò Champions League kan ?o?o?,14,17,12,Menene tarihin yawan kwallaye da aka ci a kakar wasa daya ta gasar zakarun Turai?,14,17,12,Ked? ihe ndek? maka ?t?t? goolu n'otu oge Champions League?,14,17,12
Who won the Premier League Golden Boot in 2022-23?,Erling Haaland,Harry Kane,Ivan Toney,A,medium,Ta ló gba àmì-??y? wúrà Premier League ní ?dún 2022-23?,Erling Haaland,Harry Kane,Ivan Toney,Wa ya lashe kyautar takalmin zinare ta Premier a 2022-23?,Erling Haaland,Harry Kane,Ivan Toney,Onye meriri akp?kp? ?kw? ?laedo nke Premier League n'af? 2022-23?,Erling Haaland,Harry Kane,Ivan Toney
Which country hosted the 1954 FIFA World Cup?,Switzerland,Sweden,Chile,A,hard,Oríl??-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ?dún 1954?,Switzerland,Sweden,Chile,Wace ?asa ce ta kar?i ba?uncin gasar cin kofin duniya ta FIFA ta 1954?,Switzerland,Sweden,Chile,Ked? mba kwadoro iko mba ?wa nke FIFA nke af? 1954?,Switzerland,Sweden,Chile
How much did Manchester City pay for Jack Grealish?,100 million pounds,80 million pounds,120 million pounds,A,medium,Èló ni Manchester City san fún Jack Grealish?,100 million pounds,80 million pounds,120 million pounds,Nawa ne kudin da Manchester City ta biya wajen siyan Jack Grealish?,100 million pounds,80 million pounds,120 million pounds,Ego ole ka Manchester City kw?r? maka Jack Grealish?,100 million pounds,80 million pounds,120 million pounds
Which Premier League club is Virgil van Dijk most associated with?,Liverpool,Manchester City,Chelsea,A,easy,?gb?? Premier League wo ni Virgil van Dijk ti ní ìbá?ep?? p??lú jùl??,Liverpool,Manchester City,Chelsea,Wace ?ungiyar Premier League ce Virgil van Dijk ya fi sha'awarta?,Liverpool,Manchester City,Chelsea,Ked? otu egwuregwu Premier League kacha amas? Virgil van Dijk?,Liverpool,Manchester City,Chelsea
In which year was the Premier League founded?,1990,1992,1994,B,medium,Ní ?dún wo ni w??n dá Premier League síl???,1990,1992,1994,A wace shekara aka kafa gasar Premier League?,1990,1992,1994,N'af? ole ka e hiwere Premier League?,1990,1992,1994
How many Olympic gold medals did Michael Phelps win?,18,23,28,B,medium,Àw?n àmì-??y? wúrà mélòó ni Michael Phelps gbà?,18,23,28,Nawa lambobin zinare na Olympics Michael Phelps ya lashe?,18,23,28,Ego ole ka Michael Phelps meriri n'egwuregwu Olympic?,18,23,28
What is the maximum number of players a team can name in their squad?,23,25,30,B,easy,Kí ni iye àw?n ò?èré tí ?gb?? kan lè dárúk? nínú ?gb?? w?n?,23,25,30,Menene matsakaicin adadin 'yan wasan da ?ungiya za ta iya ambata a cikin ?ungiyarta?,23,25,30,Ked? ?n??g?g? kachas? nke nd? otu nwere ike ?kp? aha n'òtù ha?,23,25,30
Which country does Jude Bellingham represent internationally?,England,France,Spain,A,easy,Oríl??-èdè wo ni Jude Bellingham ? ?ojú fún kárí ayé?,England,France,Spain,Wace ?asa ce Jude Bellingham ke wakilta a duk duniya?,England,France,Spain,Ked? mba Jude Bellingham na-an?chite anya mba ?wa?,England,France,Spain
How many World Cups did Pele win?,2,3,4,B,medium,Àw?n ife-?y? àgbáyé mélòó ni Pele gbà?,2,3,4,Kofin Duniya nawa Pele ya lashe?,2,3,4,Pele meriri iko mba ?wa ole?,2,3,4
Who managed Real Madrid to three consecutive Champions League titles?,Jose Mourinho,Carlo Ancelotti,Zinedine Zidane,C,medium,Ta ló ?e àkóso Real Madrid láti gba ife ??y? Champions League m??ta ní ìt??léra?,Jose Mourinho,Carlo Ancelotti,Zinedine Zidane,Wa ya jagoranci Real Madrid zuwa lashe gasar zakarun Turai sau uku a jere?,Jose Mourinho,Carlo Ancelotti,Zinedine Zidane,Ònye ji Real Madrid merie iko Champions League ugboro at? n'usoro?,Jose Mourinho,Carlo Ancelotti,Zinedine Zidane
Which country hosted the 1938 FIFA World Cup?,France,Brazil,Switzerland,A,hard,Oríl??-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ?dún 1938?,France,Brazil,Switzerland,Wace ?asa ce ta kar?i ba?uncin gasar cin kofin duniya ta FIFA ta 1938?,France,Brazil,Switzerland,Ked? mba kwadoro iko mba ?wa nke FIFA nke af? 1938?,France,Brazil,Switzerland
Which English club did George Best play for?,Liverpool,Manchester United,Chelsea,B,medium,?gb?? G????sì wo ni George Best gbá b????lù fún?,Liverpool,Manchester United,Chelsea,Wace ?ungiyar Ingila ce George Best ya buga wa wasa?,Liverpool,Manchester United,Chelsea,Ked? kl?b nd? Bekee ka George Best gbara b??l??,Liverpool,Manchester United,Chelsea
In which year did Atletico Madrid last win La Liga?,2014,2021,2018,B,medium,Ní ?dún wo ni Atletico Madrid gba La Liga k??yìn?,2014,2021,2018,A wace shekara ce Atletico Madrid ta lashe gasar La Liga a karo na karshe?,2014,2021,2018,N'af? ole ka Atletico Madrid meriri La Liga ikpeaz??,2014,2021,2018
What is the Old Firm derby?,Celtic vs Rangers,Hearts vs Hibernian,Aberdeen vs Dundee,A,easy,Kí ni Old Firm derby?,Celtic vs Rangers,Hearts vs Hibernian,Aberdeen vs Dundee,Menene wasan tsere na Old Firm?,Celtic vs Rangers,Hearts vs Hibernian,Aberdeen vs Dundee,G?n? b? Old Firm Derby?,Celtic vs Rangers,Hearts vs Hibernian,Aberdeen vs Dundee
Who scored 36 goals for Napoli in 2022-23 Serie A?,Khvicha Kvaratskhelia,Victor Osimhen,Giacomo Raspadori,B,medium,Ta ni o gba aw?n g??lu 36 fun Napoli ni 2022-23 Serie A?,Khvicha Kvaratskhelia,Victor Osimhen,Giacomo Raspadori,Wa ya zura kwallaye 36 a Napoli a gasar Serie A ta 2022-23?,Khvicha Kvaratskhelia,Victor Osimhen,Giacomo Raspadori,Onye nyere goolu iri at? na isii maka Napoli na 2022-23 Serie A?,Khvicha Kvaratskhelia,Victor Osimhen,Giacomo Raspadori
What formation did Pep Guardiola's Barcelona famously use?,4/3/2003,4/4/2002,3/5/2002,A,medium,"Irú ì?ètò wo ni Pep Guardiola, Barcelona, lò lókìkí?",4/3/2003,4/4/2002,3/5/2002,Wane tsari ne ?ungiyar Pep Guardiola ta Barcelona ta yi amfani da shi sosai?,4/3/2003,4/4/2002,3/5/2002,Ked? nhazi nke Pep Guardiola nke Barcelona ji ama ama?,4/3/2003,4/4/2002,3/5/2002
Which club does Vinicius Jr currently play for?,Real Madrid,Chelsea,Manchester United,A,easy,?gb?? wo ni Vinicius Jr ? gbá b????lù fún l??w??l??w???,Real Madrid,Chelsea,Manchester United,Wace kungiya Vinicius Jr yake bugawa a yanzu?,Real Madrid,Chelsea,Manchester United,Ked? kl?b Vinicius Jr na-egwuri egwu ugbu a?,Real Madrid,Chelsea,Manchester United
Which African country reached the World Cup semi-finals in 2022?,Senegal,Morocco,Cameroon,B,easy,Oríl??-èdè Áfíríkà wo ló dé ìparí ìdíje World Cup ní ?dún 2022?,Senegal,Morocco,Cameroon,Wace ?asa ce ta Afirka ta kai wasan kusa da na ?arshe a gasar cin kofin duniya a shekarar 2022?,Senegal,Morocco,Cameroon,Ked? mba Afr?ka ruru ?kara agba nke iko mba ?wa n'af? 2022?,Senegal,Morocco,Cameroon
Which team plays at the Wanda Metropolitano?,Real Madrid,Atletico Madrid,Sevilla,B,easy,?gb?? wo ló ? gbá b????lù ní Wanda Metropolitano?,Real Madrid,Atletico Madrid,Sevilla,Wace ?ungiya ce ke buga wasa a Wanda Metropolitano?,Real Madrid,Atletico Madrid,Sevilla,Ked? otu egwuregwu na Wanda Metropolitano?,Real Madrid,Atletico Madrid,Sevilla
Who won the Golden Boot at the 2022 World Cup?,Lionel Messi,Olivier Giroud,Kylian Mbappe,C,medium,Ta ló gba àmì-??y? Golden Boot ní ìdíje World Cup ti ?dún 2022?,Lionel Messi,Olivier Giroud,Kylian Mbappe,Wa ya lashe kyautar takalmin zinare a gasar cin kofin duniya ta 2022?,Lionel Messi,Olivier Giroud,Kylian Mbappe,Ònye meriri akp?kp? ?kw? ?laedo na iko mba ?wa nke af? 2022?,Lionel Messi,Olivier Giroud,Kylian Mbappe
